source_image	repository_name	tag	ecr_image
quay.io/biocontainers/bcftools:1.20--h8b25389_0	nextflow/sarek	src-85ed39fa988f391047335471	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-85ed39fa988f391047335471
quay.io/biocontainers/bwa:0.7.18--he4a0461_0	nextflow/sarek	src-19c4bac9685e7a93e7a7aa59	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-19c4bac9685e7a93e7a7aa59
quay.io/biocontainers/bwa-mem2:2.2.1--he513fc3_0	nextflow/sarek	src-5cbc79e07c3ab0d4144b389d	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-5cbc79e07c3ab0d4144b389d
quay.io/biocontainers/dragmap:1.2.1--h72d16da_1	nextflow/sarek	src-38718e7533a6a698a121952f	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-38718e7533a6a698a121952f
quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0	nextflow/sarek	src-898fb4cbcb54adba1f0a34af	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-898fb4cbcb54adba1f0a34af
quay.io/biocontainers/gatk4:4.5.0.0--py36hdfd78af_0	nextflow/sarek	src-52abbdfe4a024b4b812257d7	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-52abbdfe4a024b4b812257d7
quay.io/biocontainers/gawk:5.1.0	nextflow/sarek	src-ecc47d6d79a141ca3e8a8582	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-ecc47d6d79a141ca3e8a8582
quay.io/biocontainers/htslib:1.19.1--h81da01d_1	nextflow/sarek	src-f00ad629dd9dd7ed21dc0ec0	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-f00ad629dd9dd7ed21dc0ec0
quay.io/biocontainers/mosdepth:0.3.8--hd299d5a_0	nextflow/sarek	src-193dfbd4487a0cc8a6a49190	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-193dfbd4487a0cc8a6a49190
quay.io/biocontainers/msisensor-pro:1.2.0--hfc31af2_0	nextflow/sarek	src-7be8426b75e185bfc84d0684	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-7be8426b75e185bfc84d0684
quay.io/biocontainers/mulled-v2-580d344d9d4a496cd403932da8765f9e0187774d:df80ed8d23d0a2c43181a2b3dd1b39f2d00fab5c-0	nextflow/sarek	src-518e281684dda00937f1fedb	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-518e281684dda00937f1fedb
quay.io/biocontainers/mulled-v2-d9e7bad0f7fbc8f4458d5c3ab7ffaaf0235b59fb:7cc3d06cbf42e28c5e2ebfc7c858654c7340a9d5-0	nextflow/sarek	src-13154aafa24c454221247007	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-13154aafa24c454221247007
quay.io/biocontainers/mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6:2d15960ccea84e249a150b7f5d4db3a42fc2d6c3-0	nextflow/sarek	src-ec74657646ed24961684fc79	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-ec74657646ed24961684fc79
quay.io/biocontainers/mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40:1bd8542a8a0b42e0981337910954371d0230828e-0	nextflow/sarek	src-50ddcd09e1406e6f27cf894b	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-50ddcd09e1406e6f27cf894b
quay.io/biocontainers/multiqc:1.21--pyhdfd78af_0	nextflow/sarek	src-e47871bb13a4a9d1e2e0e6c1	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-e47871bb13a4a9d1e2e0e6c1
quay.io/biocontainers/ngscheckmate:1.0.1--py27pl5321r40hdfd78af_1	nextflow/sarek	src-ad1257fb62141df5e35c7445	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-ad1257fb62141df5e35c7445
quay.io/biocontainers/samtools:1.20--h50ea8bc_0	nextflow/sarek	src-f3ce14d28b23815faa0cbed2	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-f3ce14d28b23815faa0cbed2
quay.io/biocontainers/sentieon:202308.02--h43eeafb_0	nextflow/sarek	src-588a4092069b4f953de8765d	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-588a4092069b4f953de8765d
quay.io/biocontainers/spring:1.1.1--h4ac6f70_2	nextflow/sarek	src-0cce4f1f2c0163eda0b61ceb	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-0cce4f1f2c0163eda0b61ceb
quay.io/biocontainers/strelka:2.9.10--h9ee0642_1	nextflow/sarek	src-c042deae0aee0186527240ff	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-c042deae0aee0186527240ff
quay.io/biocontainers/vcftools:0.1.16--he513fc3_4	nextflow/sarek	src-dad5e05532c20f8539194f84	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-dad5e05532c20f8539194f84
quay.io/nf-core/ubuntu:20.04	nextflow/sarek	src-f4929a8d6bf083e745ffe8a9	672172129528.dkr.ecr.ap-southeast-1.amazonaws.com/nextflow/sarek:src-f4929a8d6bf083e745ffe8a9
